;classement;titre;annee;duree;categorie;realisateur
0;1.;Avatar;(2009);162 min;"
Action, Adventure, Fantasy            ";James Cameron
1;2.;Transformers: Revenge of the Fallen;(2009);150 min;"
Action, Adventure, Sci-Fi            ";Michael Bay
2;3.;Harry Potter and the Half-Blood Prince;(2009);153 min;"
Adventure, Family, Fantasy            ";David Yates
3;4.;The Twilight Saga: New Moon;(2009);130 min;"
Adventure, Drama, Fantasy            ";Chris Weitz
4;5.;Up;(2009);96 min;"
Animation, Adventure, Comedy            ";Pete Docter
5;6.;The Hangover;(2009);100 min;"
Comedy            ";Todd Phillips
6;7.;Star Trek;(2009);127 min;"
Action, Adventure, Sci-Fi            ";J.J. Abrams
7;8.;The Blind Side;(2009);129 min;"
Biography, Drama, Sport            ";John Lee Hancock
8;9.;Alvin and the Chipmunks: The Squeakquel;(2009);88 min;"
Animation, Comedy, Family            ";Betty Thomas
9;10.;Sherlock Holmes;(2009);128 min;"
Action, Adventure, Crime            ";Guy Ritchie
10;11.;Monsters vs. Aliens;(2009);94 min;"
Animation, Action, Adventure            ";Rob Letterman
11;12.;Ice Age: Dawn of the Dinosaurs;(2009);94 min;"
Animation, Action, Adventure            ";Carlos Saldanha
12;13.;X-Men Origins: Wolverine;(2009);107 min;"
Action, Adventure, Sci-Fi            ";Gavin Hood
13;14.;Night at the Museum: Battle of the Smithsonian;(2009);105 min;"
Adventure, Comedy, Family            ";Shawn Levy
14;15.;2012;(I) (2009);158 min;"
Action, Adventure, Sci-Fi            ";Roland Emmerich
15;16.;The Proposal;(I) (2009);108 min;"
Comedy, Drama, Romance            ";Anne Fletcher
16;17.;Fast & Furious;(2009);107 min;"
Action, Crime, Thriller            ";Justin Lin
17;18.;G.I. Joe: The Rise of Cobra;(2009);118 min;"
Action, Adventure, Sci-Fi            ";Stephen Sommers
18;19.;A Christmas Carol;(2009);96 min;"
Animation, Drama, Family            ";Robert Zemeckis
19;20.;Angels & Demons;(2009);138 min;"
Mystery, Thriller            ";Ron Howard
20;21.;Terminator Salvation;(2009);115 min;"
Action, Adventure, Drama            ";McG
21;22.;Cloudy with a Chance of Meatballs;(2009);90 min;"
Animation, Comedy, Family            ";Phil Lord
22;23.;Inglourious Basterds;(2009);153 min;"
Adventure, Drama, War            ";Quentin Tarantino
23;24.;G-Force;(2009);88 min;"
Animation, Action, Adventure            ";Hoyt Yeatman
24;25.;District 9;(2009);112 min;"
Action, Sci-Fi, Thriller            ";Neill Blomkamp
25;26.;It's Complicated;(2009);120 min;"
Comedy, Drama, Romance            ";Nancy Meyers
26;27.;Couples Retreat;(2009);113 min;"
Comedy            ";Peter Billingsley
27;28.;Watchmen;(2009);162 min;"
Action, Drama, Mystery            ";Zack Snyder
28;29.;The Princess and the Frog;(2009);97 min;"
Animation, Adventure, Comedy            ";Ron Clements
29;30.;Public Enemies;(2009);140 min;"
Biography, Crime, Drama            ";Michael Mann
30;31.;Julie & Julia;(2009);118 min;"
Biography, Drama, Romance            ";Nora Ephron
31;32.;He's Just Not That Into You;(2009);129 min;"
Comedy, Drama, Romance            ";Ken Kwapis
32;33.;Madea Goes to Jail;(2009);103 min;"
Comedy, Crime, Drama            ";Tyler Perry
33;34.;The Ugly Truth;(2009);96 min;"
Comedy, Romance            ";Robert Luketic
34;35.;Up in the Air;(I) (2009);109 min;"
Drama, Romance            ";Jason Reitman
35;36.;Knowing;(2009);121 min;"
Drama, Mystery, Sci-Fi            ";Alex Proyas
36;37.;Hannah Montana: The Movie;(2009);102 min;"
Comedy, Drama, Family            ";Peter Chelsom
37;38.;Max et les Maximonstres;(2009);101 min;"
Adventure, Drama, Family            ";Spike Jonze
38;39.;Zombieland;(2009);88 min;"
Adventure, Comedy, Horror            ";Ruben Fleischer
39;40.;Coraline;(2009);100 min;"
Animation, Family, Fantasy            ";Henry Selick
40;41.;Law Abiding Citizen;(2009);109 min;"
Crime, Drama, Thriller            ";F. Gary Gray
41;42.;Hotel for Dogs;(2009);100 min;"
Comedy, Family            ";Thor Freudenthal
42;43.;This Is It;(2009);111 min;"
Documentary, Music            ";Kenny Ortega
43;44.;I Love You, Man;(2009);105 min;"
Comedy, Romance            ";John Hamburg
44;45.;Obsessed;(2009);108 min;"
Drama, Romance, Thriller            ";Steve Shill
45;46.;Race to Witch Mountain;(2009);98 min;"
Action, Adventure, Family            ";Andy Fickman
46;47.;The Final Destination;(2009);82 min;"
Horror            ";David R. Ellis
47;48.;The Taking of Pelham 1 2 3;(2009);106 min;"
Action, Crime, Thriller            ";Tony Scott
48;49.;Friday the 13th;(2009);97 min;"
Horror            ";Marcus Nispel
49;50.;17 Again;(2009);102 min;"
Comedy, Drama, Family            ";Burr Steers
50;51.;The Time Traveler's Wife;(2009);107 min;"
Drama, Fantasy, Romance            ";Robert Schwentke
51;52.;Brüno;(2009);81 min;"
Comedy            ";Larry Charles
52;53.;Bride Wars;(2009);89 min;"
Comedy, Romance            ";Gary Winick
53;54.;The Haunting in Connecticut;(2009);92 min;"
Drama, Horror, Mystery            ";Peter Cornwell
54;55.;Ghosts of Girlfriends Past;(2009);100 min;"
Comedy, Fantasy, Romance            ";Mark Waters
55;56.;Funny People;(2009);146 min;"
Comedy, Drama            ";Judd Apatow
56;57.;I Can Do Bad All by Myself;(2009);113 min;"
Comedy, Drama            ";Tyler Perry
57;58.;My Bloody Valentine;(2009);101 min;"
Horror, Thriller            ";Patrick Lussier
58;59.;Old Dogs;(I) (2009);88 min;"
Comedy, Family            ";Walt Becker
59;60.;Land of the Lost;(2009);102 min;"
Adventure, Comedy, Sci-Fi            ";Brad Silberling
60;61.;My Sister's Keeper;(2009);109 min;"
Drama            ";Nick Cassavetes
61;62.;Precious;(II) (2009);110 min;"
Drama            ";Lee Daniels
62;63.;Underworld: Rise of the Lycans;(2009);92 min;"
Action, Adventure, Fantasy            ";Patrick Tatopoulos
63;64.;Confessions of a Shopaholic;(2009);104 min;"
Comedy, Family, Romance            ";P.J. Hogan
64;65.;The Lovely Bones;(2009);135 min;"
Drama, Fantasy, Thriller            ";Peter Jackson
65;66.;Year One;(2009);97 min;"
Adventure, Comedy            ";Harold Ramis
66;67.;The Unborn;(2009);88 min;"
Drama, Horror, Mystery            ";David S. Goyer
67;68.;Planète 51;(2009);91 min;"
Animation, Adventure, Comedy            ";Jorge Blanco
68;69.;Drag Me to Hell;(2009);99 min;"
Horror, Thriller            ";Sam Raimi
69;70.;Orphan;(2009);123 min;"
Horror, Mystery, Thriller            ";Jaume Collet-Serra
70;71.;Duplicity;(2009);125 min;"
Comedy, Crime, Romance            ";Tony Gilroy
71;72.;Crazy Heart;(2009);112 min;"
Drama, Music, Romance            ";Scott Cooper
72;73.;Surrogates;(2009);89 min;"
Action, Sci-Fi, Thriller            ";Jonathan Mostow
73;74.;Ninja Assassin;(2009);99 min;"
Action, Crime, Thriller            ";James McTeigue
74;75.;Invictus;(2009);134 min;"
Biography, Drama, History            ";Clint Eastwood
75;76.;State of Play;(2009);127 min;"
Crime, Drama, Mystery            ";Kevin Macdonald
