;classement;titre;annee;duree;categorie;realisateur
0;1.;Pirates of the Caribbean: Dead Man's Chest;(2006);151 min;"
Action, Adventure, Fantasy            ";Gore Verbinski
1;2.;Night at the Museum;(2006);108 min;"
Adventure, Comedy, Family            ";Shawn Levy
2;3.;Cars;(2006);117 min;"
Animation, Adventure, Comedy            ";John Lasseter
3;4.;X-Men: L'affrontement final;(2006);104 min;"
Action, Adventure, Fantasy            ";Brett Ratner
4;5.;The Da Vinci Code;(2006);149 min;"
Mystery, Thriller            ";Ron Howard
5;6.;300;(2006);117 min;"
Action, Fantasy            ";Zack Snyder
6;7.;Superman Returns;(2006);154 min;"
Action, Adventure, Sci-Fi            ";Bryan Singer
7;8.;Happy Feet;(2006);108 min;"
Animation, Comedy, Family            ";George Miller
8;9.;Ice Age: The Meltdown;(2006);91 min;"
Animation, Action, Adventure            ";Carlos Saldanha
9;10.;Casino Royale;(2006);144 min;"
Action, Adventure, Thriller            ";Martin Campbell
10;11.;The Pursuit of Happyness;(2006);117 min;"
Biography, Drama            ";Gabriele Muccino
11;12.;Over the Hedge;(2006);83 min;"
Animation, Adventure, Comedy            ";Tim Johnson
12;13.;Talladega Nights: The Ballad of Ricky Bobby;(2006);108 min;"
Action, Comedy, Sport            ";Adam McKay
13;14.;Click;(2006);107 min;"
Comedy, Drama, Fantasy            ";Frank Coraci
14;15.;Mission: Impossible III;(2006);126 min;"
Action, Adventure, Thriller            ";J.J. Abrams
15;16.;The Departed;(2006);151 min;"
Crime, Drama, Thriller            ";Martin Scorsese
16;17.;Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan;(2006);84 min;"
Comedy            ";Larry Charles
17;18.;The Devil Wears Prada;(2006);109 min;"
Comedy, Drama            ";David Frankel
18;19.;The Break-Up;(2006);106 min;"
Comedy, Drama, Romance            ";Peyton Reed
19;20.;Dreamgirls;(2006);130 min;"
Drama, Music, Musical            ";Bill Condon
20;21.;Scary Movie 4;(2006);83 min;"
Comedy            ";David Zucker
21;22.;Failure to Launch;(2006);97 min;"
Comedy, Romance            ";Tom Dey
22;23.;Inside Man;(2006);129 min;"
Crime, Drama, Mystery            ";Spike Lee
23;24.;The Santa Clause 3: The Escape Clause;(2006);97 min;"
Adventure, Comedy, Family            ";Michael Lembeck
24;25.;Open Season;(2006);86 min;"
Animation, Adventure, Comedy            ";Roger Allers
25;26.;Charlotte's Web;(2006);97 min;"
Comedy, Family, Fantasy            ";Gary Winick
26;27.;The Pink Panther;(2006);93 min;"
Adventure, Comedy, Crime            ";Shawn Levy
27;28.;Eight Below;(2006);120 min;"
Adventure, Drama, Family            ";Frank Marshall
28;29.;Super Nacho;(2006);92 min;"
Comedy, Family, Sport            ";Jared Hess
29;30.;Saw III;(2006);108 min;"
Horror            ";Darren Lynn Bousman
30;31.;You, Me and Dupree;(2006);110 min;"
Comedy, Romance            ";Anthony Russo
31;32.;Eragon;(2006);104 min;"
Action, Adventure, Family            ";Stefen Fangmeier
32;33.;Monster House;(2006);91 min;"
Animation, Comedy, Family            ";Gil Kenan
33;34.;Jackass Number Two;(2006);92 min;"
Documentary, Action, Comedy            ";Jeff Tremaine
34;35.;La ferme en folie;(2006);90 min;"
Animation, Comedy, Family            ";Steve Oedekerk
35;36.;RV;(2006);99 min;"
Adventure, Comedy, Family            ";Barry Sonnenfeld
36;37.;Rocky Balboa;(2006);102 min;"
Drama, Sport            ";Sylvester Stallone
37;38.;World Trade Center;(2006);129 min;"
Drama, History, Thriller            ";Oliver Stone
38;39.;Big Momma's House 2;(2006);99 min;"
Comedy, Crime            ";John Whitesell
39;40.;Step Up;(2006);104 min;"
Crime, Drama, Music            ";Anne Fletcher
40;41.;Flushed Away;(2006);85 min;"
Animation, Adventure, Comedy            ";David Bowers
41;42.;Deja Vu;(2006);126 min;"
Action, Sci-Fi, Thriller            ";Tony Scott
42;43.;Unknown;(2006);85 min;"
Crime, Drama, Mystery            ";Simon Brand
43;44.;Miami Vice;(2006);134 min;"
Action, Crime, Thriller            ";Michael Mann
44;45.;Madea's Family Reunion;(2006);107 min;"
Comedy, Drama, Romance            ";Tyler Perry
