;classement;titre;annee;duree;categorie;realisateur
0;1.;Spider-Man 3;(2007);139 min;"
Action, Adventure            ";Sam Raimi
1;2.;Shrek the Third;(2007);93 min;"
Animation, Adventure, Comedy            ";Chris Miller
2;3.;Transformers;(2007);144 min;"
Action, Adventure, Sci-Fi            ";Michael Bay
3;4.;Pirates of the Caribbean: At World's End;(2007);169 min;"
Action, Adventure, Fantasy            ";Gore Verbinski
4;5.;Harry Potter and the Order of the Phoenix;(2007);138 min;"
Adventure, Family, Fantasy            ";David Yates
5;6.;I Am Legend;(2007);101 min;"
Drama, Horror, Sci-Fi            ";Francis Lawrence
6;7.;The Bourne Ultimatum;(2007);115 min;"
Action, Mystery, Thriller            ";Paul Greengrass
7;8.;National Treasure: Book of Secrets;(2007);124 min;"
Action, Adventure, Family            ";Jon Turteltaub
8;9.;Alvin and the Chipmunks;(2007);92 min;"
Animation, Comedy, Family            ";Tim Hill
9;10.;Ratatouille;(2007);111 min;"
Animation, Comedy, Family            ";Brad Bird
10;11.;The Simpsons Movie;(2007);87 min;"
Animation, Adventure, Comedy            ";David Silverman
11;12.;Wild Hogs;(2007);100 min;"
Action, Adventure, Comedy            ";Walt Becker
12;13.;Knocked Up;(2007);129 min;"
Comedy, Romance            ";Judd Apatow
13;14.;Juno;(2007);96 min;"
Comedy, Drama            ";Jason Reitman
14;15.;Rush Hour 3;(2007);91 min;"
Action, Comedy, Crime            ";Brett Ratner
15;16.;Live Free or Die Hard;(2007);128 min;"
Action, Adventure, Thriller            ";Len Wiseman
16;17.;Fantastic 4: Rise of the Silver Surfer;(2007);92 min;"
Action, Adventure, Fantasy            ";Tim Story
17;18.;American Gangster;(2007);157 min;"
Biography, Crime, Drama            ";Ridley Scott
18;19.;Enchanted;(2007);107 min;"
Animation, Comedy, Family            ";Kevin Lima
19;20.;Bee Movie;(2007);91 min;"
Animation, Adventure, Comedy            ";Steve Hickner
20;21.;Superbad;(2007);113 min;"
Comedy            ";Greg Mottola
21;22.;I Now Pronounce You Chuck & Larry;(2007);115 min;"
Comedy, Romance            ";Dennis Dugan
22;23.;Hairspray;(2007);117 min;"
Comedy, Drama, Family            ";Adam Shankman
23;24.;Blades of Glory;(2007);93 min;"
Comedy, Sport            ";Josh Gordon
24;25.;Ocean's Thirteen;(2007);122 min;"
Crime, Thriller            ";Steven Soderbergh
25;26.;Ghost Rider;(2007);114 min;"
Action, Fantasy, Thriller            ";Mark Steven Johnson
26;27.;Paranormal Activity;(2007);86 min;"
Horror, Mystery, Thriller            ";Oren Peli
27;28.;Evan Almighty;(2007);96 min;"
Comedy, Family, Fantasy            ";Tom Shadyac
28;29.;Meet the Robinsons;(2007);95 min;"
Animation, Adventure, Comedy            ";Stephen J. Anderson
29;30.;Norbit;(2007);102 min;"
Comedy, Romance            ";Brian Robbins
30;31.;The Bucket List;(2007);97 min;"
Adventure, Comedy, Drama            ";Rob Reiner
31;32.;The Game Plan;(2007);110 min;"
Comedy, Family, Sport            ";Andy Fickman
32;33.;Bridge to Terabithia;(2007);96 min;"
Adventure, Drama, Family            ";Gabor Csupo
33;34.;Beowulf;(2007);115 min;"
Animation, Action, Adventure            ";Robert Zemeckis
34;35.;Disturbia;(2007);105 min;"
Drama, Mystery, Thriller            ";D.J. Caruso
35;36.;No Country for Old Men;(2007);122 min;"
Crime, Drama, Thriller            ";Ethan Coen
36;37.;Fred Claus;(2007);116 min;"
Comedy, Family, Fantasy            ";David Dobkin
37;38.;1408;(2007);104 min;"
Fantasy, Horror            ";Mikael Håfström
38;39.;The Golden Compass;(2007);113 min;"
Adventure, Family, Fantasy            ";Chris Weitz
39;40.;Charlie Wilson's War;(2007);102 min;"
Biography, Comedy, Drama            ";Mike Nichols
40;41.;Saw IV;(2007);93 min;"
Horror, Mystery            ";Darren Lynn Bousman
41;42.;Stomp the Yard;(2007);109 min;"
Drama, Music, Romance            ";Sylvain White
42;43.;Surf's Up;(2007);85 min;"
Animation, Comedy, Family            ";Ash Brannon
