;classement;titre;annee;duree;categorie;realisateur
0;1.;American Sniper;(2014);133 min;"
Action, Biography, Drama            ";Clint Eastwood
1;2.;The Hunger Games: Mockingjay - Part 1;(2014);123 min;"
Adventure, Sci-Fi, Thriller            ";Francis Lawrence
2;3.;Guardians of the Galaxy;(2014);121 min;"
Action, Adventure, Sci-Fi            ";James Gunn
3;4.;Captain America: The Winter Soldier;(2014);136 min;"
Action, Adventure, Sci-Fi            ";Anthony Russo
4;5.;The Lego Movie;(2014);100 min;"
Animation, Action, Adventure            ";Phil Lord
5;6.;The Hobbit: The Battle of the Five Armies;(2014);144 min;"
Adventure, Fantasy            ";Peter Jackson
6;7.;Transformers: Age of Extinction;(2014);165 min;"
Action, Adventure, Sci-Fi            ";Michael Bay
7;8.;Maleficent;(2014);97 min;"
Action, Adventure, Family            ";Robert Stromberg
8;9.;X-Men: Days of Future Past;(2014);132 min;"
Action, Adventure, Sci-Fi            ";Bryan Singer
9;10.;Big Hero 6;(2014);102 min;"
Animation, Action, Adventure            ";Don Hall
10;11.;Dawn of the Planet of the Apes;(2014);130 min;"
Action, Adventure, Drama            ";Matt Reeves
11;12.;The Amazing Spider-Man 2;(2014);142 min;"
Action, Adventure, Sci-Fi            ";Marc Webb
12;13.;Godzilla;(2014);123 min;"
Action, Adventure, Sci-Fi            ";Gareth Edwards
13;14.;22 Jump Street;(2014);112 min;"
Action, Comedy, Crime            ";Phil Lord
14;15.;Teenage Mutant Ninja Turtles;(2014);101 min;"
Action, Adventure, Comedy            ";Jonathan Liebesman
15;16.;Interstellar;(2014);169 min;"
Adventure, Drama, Sci-Fi            ";Christopher Nolan
16;17.;How to Train Your Dragon 2;(2014);102 min;"
Animation, Action, Adventure            ";Dean DeBlois
17;18.;Gone Girl;(2014);149 min;"
Crime, Drama, Mystery            ";David Fincher
18;19.;Divergent;(2014);139 min;"
Adventure, Mystery, Sci-Fi            ";Neil Burger
19;20.;Neighbors;(I) (2014);97 min;"
Comedy            ";Nicholas Stoller
20;21.;Ride Along;(2014);99 min;"
Action, Comedy, Crime            ";Tim Story
21;22.;Rio 2;(2014);101 min;"
Animation, Adventure, Comedy            ";Carlos Saldanha
22;23.;Kingsman: The Secret Service;(2014);129 min;"
Action, Adventure, Comedy            ";Matthew Vaughn
23;24.;Into the Woods;(2014);125 min;"
Adventure, Comedy, Drama            ";Rob Marshall
24;25.;Lucy;(I) (2014);89 min;"
Action, Sci-Fi, Thriller            ";Luc Besson
25;26.;The Fault in Our Stars;(2014);126 min;"
Drama, Romance            ";Josh Boone
26;27.;Unbroken;(I) (2014);137 min;"
Biography, Drama, Sport            ";Angelina Jolie
27;28.;Night at the Museum 3;(2014);98 min;"
Adventure, Comedy, Family            ";Shawn Levy
28;29.;Mr. Peabody & Sherman;(2014);92 min;"
Animation, Adventure, Comedy            ";Rob Minkoff
29;30.;300: Rise of an Empire;(2014);102 min;"
Action, Drama, Fantasy            ";Noam Murro
30;31.;The Maze Runner;(2014);113 min;"
Action, Mystery, Sci-Fi            ";Wes Ball
31;32.;The Equalizer;(2014);132 min;"
Action, Crime, Thriller            ";Antoine Fuqua
32;33.;Noah;(2014);138 min;"
Action, Adventure, Drama            ";Darren Aronofsky
33;34.;Edge of Tomorrow;(2014);113 min;"
Action, Adventure, Sci-Fi            ";Doug Liman
34;35.;Heaven Is for Real;(2014);99 min;"
Biography, Drama, Family            ";Randall Wallace
35;36.;Non-Stop;(2014);106 min;"
Action, Mystery, Thriller            ";Jaume Collet-Serra
36;37.;The Imitation Game;(2014);114 min;"
Biography, Drama, Thriller            ";Morten Tyldum
37;38.;Taken 3;(2014);109 min;"
Action, Thriller            ";Olivier Megaton
38;39.;Dumb and Dumber To;(2014);109 min;"
Comedy            ";Bobby Farrelly
39;40.;Annie;(2014);118 min;"
Comedy, Drama, Family            ";Will Gluck
40;41.;Fury;(2014);134 min;"
Action, Drama, War            ";David Ayer
41;42.;Tammy;(2014);97 min;"
Comedy, Romance            ";Ben Falcone
42;43.;Annabelle;(I) (2014);99 min;"
Horror, Mystery, Thriller            ";John R. Leonetti
43;44.;The Other Woman;(2014);109 min;"
Comedy, Romance            ";Nick Cassavetes
44;45.;Penguins of Madagascar;(2014);92 min;"
Animation, Adventure, Comedy            ";Eric Darnell
