;classement;titre;annee;duree;categorie;realisateur
0;1.;Shrek 2;(2004);93 min;"
Animation, Adventure, Comedy            ";Andrew Adamson
1;2.;Spider-Man 2;(2004);127 min;"
Action, Adventure            ";Sam Raimi
2;3.;The Passion of the Christ;(2004);127 min;"
Drama            ";Mel Gibson
3;4.;Meet the Fockers;(2004);115 min;"
Comedy, Romance            ";Jay Roach
4;5.;The Incredibles;(2004);115 min;"
Animation, Action, Adventure            ";Brad Bird
5;6.;Harry Potter and the Prisoner of Azkaban;(2004);142 min;"
Adventure, Family, Fantasy            ";Alfonso Cuarón
6;7.;The Day After Tomorrow;(2004);124 min;"
Action, Adventure, Sci-Fi            ";Roland Emmerich
7;8.;The Bourne Supremacy;(2004);108 min;"
Action, Mystery, Thriller            ";Paul Greengrass
8;9.;National Treasure;(2004);131 min;"
Action, Adventure, Family            ";Jon Turteltaub
9;10.;Shark Tale;(2004);90 min;"
Animation, Adventure, Comedy            ";Bibo Bergeron
10;11.;I, Robot;(2004);115 min;"
Action, Mystery, Sci-Fi            ";Alex Proyas
11;12.;Troy;(2004);163 min;"
Adventure            ";Wolfgang Petersen
12;13.;Ocean's Twelve;(2004);125 min;"
Crime, Thriller            ";Steven Soderbergh
13;14.;50 First Dates;(2004);99 min;"
Comedy, Romance            ";Peter Segal
14;15.;Van Helsing;(2004);131 min;"
Action, Adventure            ";Stephen Sommers
15;16.;Fahrenheit 9/11;(2004);122 min;"
Documentary, Drama, War            ";Michael Moore
16;17.;A Series of Unfortunate Events;(2004);108 min;"
Adventure, Comedy, Family            ";Brad Silberling
17;18.;Dodgeball: A True Underdog Story;(2004);92 min;"
Comedy, Sport            ";Rawson Marshall Thurber
18;19.;The Village;(2004);108 min;"
Drama, Mystery, Thriller            ";M. Night Shyamalan
19;20.;The Grudge;(2004);91 min;"
Horror, Mystery, Thriller            ";Takashi Shimizu
20;21.;Aviator;(2004);170 min;"
Biography, Drama, History            ";Martin Scorsese
21;22.;Million Dollar Baby;(2004);132 min;"
Drama, Sport            ";Clint Eastwood
22;23.;Collateral;(2004);120 min;"
Crime, Drama, Thriller            ";Michael Mann
23;24.;The Princess Diaries 2: Royal Engagement;(2004);113 min;"
Comedy, Family, Romance            ";Garry Marshall
24;25.;Starsky & Hutch;(2004);101 min;"
Comedy, Crime            ";Todd Phillips
25;26.;Along Came Polly;(2004);90 min;"
Comedy, Romance            ";John Hamburg
26;27.;Mean Girls;(2004);97 min;"
Comedy            ";Mark Waters
27;28.;The SpongeBob SquarePants Movie;(2004);87 min;"
Animation, Adventure, Comedy            ";Stephen Hillenburg
28;29.;Scooby-Doo 2: Monsters Unleashed;(2004);93 min;"
Adventure, Comedy, Family            ";Raja Gosnell
29;30.;Anchorman: The Legend of Ron Burgundy;(2004);94 min;"
Comedy            ";Adam McKay
30;31.;AVP: Alien vs. Predator;(2004);101 min;"
Action, Horror, Sci-Fi            ";Paul W.S. Anderson
31;32.;Man on Fire;(2004);146 min;"
Action, Crime, Drama            ";Tony Scott
32;33.;The Terminal;(2004);128 min;"
Comedy, Drama, Romance            ";Steven Spielberg
33;34.;Garfield;(2004);80 min;"
Animation, Comedy, Family            ";Peter Hewitt
34;35.;Ray;(I) (2004);152 min;"
Biography, Drama, Music            ";Taylor Hackford
35;36.;Ladder 49;(2004);115 min;"
Action, Drama, Thriller            ";Jay Russell
36;37.;Christmas with the Kranks;(2004);99 min;"
Comedy, Family            ";Joe Roth
37;38.;Sideways;(2004);126 min;"
Comedy, Drama, Romance            ";Alexander Payne
38;39.;White Chicks;(2004);109 min;"
Comedy, Crime            ";Keenen Ivory Wayans
39;40.;Hidalgo;(2004);136 min;"
Action, Adventure, Biography            ";Joe Johnston
40;41.;The Forgotten;(2004);91 min;"
Drama, Horror, Mystery            ";Joseph Ruben
41;42.;Kill Bill: Vol. 2;(2004);137 min;"
Action, Crime, Drama            ";Quentin Tarantino
42;43.;The Manchurian Candidate;(2004);129 min;"
Drama, Mystery, Sci-Fi            ";Jonathan Demme
43;44.;Barbershop 2: Back in Business;(2004);106 min;"
Comedy, Drama            ";Kevin Rodney Sullivan
44;45.;Miracle;(2004);135 min;"
Biography, Drama, History            ";Gavin O'Connor
45;46.;Friday Night Lights;(2004);118 min;"
Action, Drama, Sport            ";Peter Berg
46;47.;The Stepford Wives;(2004);93 min;"
Comedy, Sci-Fi, Thriller            ";Frank Oz
47;48.;Hellboy;(2004);122 min;"
Action, Fantasy, Horror            ";Guillermo del Toro
48;49.;Dawn of the Dead;(2004);101 min;"
Action, Horror, Thriller            ";Zack Snyder
49;50.;Without a Paddle;(2004);95 min;"
Adventure, Comedy, Mystery            ";Steven Brill
50;51.;Shall We Dance;(2004);106 min;"
Comedy, Drama, Romance            ";Peter Chelsom
51;52.;The Chronicles of Riddick;(2004);119 min;"
Action, Adventure, Sci-Fi            ";David Twohy
52;53.;13 Going on 30;(2004);98 min;"
Comedy, Fantasy, Romance            ";Gary Winick
53;54.;Saw;(2004);103 min;"
Horror, Mystery, Thriller            ";James Wan
54;55.;Collision;(I) (2004);112 min;"
Crime, Drama, Thriller            ";Paul Haggis
55;56.;Blade: Trinity;(2004);113 min;"
Action, Adventure, Horror            ";David S. Goyer
56;57.;King Arthur;(2004);126 min;"
Action, Adventure, Drama            ";Antoine Fuqua
57;58.;Finding Neverland;(2004);106 min;"
Biography, Drama, Family            ";Marc Forster
58;59.;A Cinderella Story;(2004);95 min;"
Comedy, Family, Romance            ";Mark Rosman
59;60.;The Phantom of the Opera;(2004);143 min;"
Drama, Musical, Romance            ";Joel Schumacher
60;61.;Resident Evil: Apocalypse;(2004);94 min;"
Action, Horror, Sci-Fi            ";Alexander Witt
61;62.;Home on the Range;(2004);76 min;"
Animation, Comedy, Family            ";Will Finn
62;63.;Fat Albert;(2004);93 min;"
Comedy, Family, Fantasy            ";Joel Zwick
63;64.;Secret Window;(2004);96 min;"
Mystery, Thriller            ";David Koepp
64;65.;Walking Tall;(2004);86 min;"
Action, Crime            ";Kevin Bray
65;66.;In Good Company;(2004);109 min;"
Comedy, Drama, Romance            ";Paul Weitz
66;67.;Napoleon Dynamite;(2004);96 min;"
Comedy            ";Jared Hess
67;68.;Spanglish;(2004);131 min;"
Comedy, Drama, Romance            ";James L. Brooks
68;69.;Exorcist: The Beginning;(2004);114 min;"
Horror, Mystery, Thriller            ";Renny Harlin
69;70.;Bridget Jones: The Edge of Reason;(2004);108 min;"
Comedy, Drama, Romance            ";Beeban Kidron
70;71.;Catwoman;(2004);104 min;"
Action, Crime, Fantasy            ";Pitof
71;72.;You Got Served;(2004);95 min;"
Drama, Music            ";Chris Stokes
72;73.;The Ladykillers;(2004);104 min;"
Comedy, Crime, Thriller            ";Ethan Coen
73;74.;Sky Captain and the World of Tomorrow;(2004);106 min;"
Action, Adventure, Mystery            ";Kerry Conran
74;75.;Raising Helen;(2004);119 min;"
Comedy, Drama, Romance            ";Garry Marshall
75;76.;Taxi;(I) (2004);97 min;"
Action, Comedy, Crime            ";Tim Story
76;77.;Alexander;(2004);175 min;"
Action, Adventure, Biography            ";Oliver Stone
77;78.;Eternal Sunshine of the Spotless Mind;(2004);108 min;"
Drama, Romance, Sci-Fi            ";Michel Gondry
78;79.;Closer;(I) (2004);104 min;"
Drama, Romance            ";Mike Nichols
79;80.;The Punisher;(2004);124 min;"
Action, Crime, Drama            ";Jonathan Hensleigh
80;81.;Team America: World Police;(2004);98 min;"
Action, Comedy            ";Trey Parker
81;82.;Taking Lives;(2004);103 min;"
Crime, Mystery, Thriller            ";D.J. Caruso
82;83.;Cellular;(2004);94 min;"
Action, Crime, Thriller            ";David R. Ellis
83;84.;Anacondas: The Hunt for the Blood Orchid;(2004);97 min;"
Action, Adventure, Horror            ";Dwight H. Little
84;85.;Johnson Family Vacation;(2004);97 min;"
Comedy            ";Christopher Erskin
85;86.;Journal intime d'une future star;(2004);89 min;"
Comedy, Family, Music            ";Sara Sugarman
86;87.;After the Sunset;(2004);97 min;"
Action, Comedy, Crime            ";Brett Ratner
87;88.;The Prince and Me;(2004);111 min;"
Comedy, Family, Romance            ";Martha Coolidge
88;89.;Garden State;(2004);102 min;"
Comedy, Drama, Romance            ";Zach Braff
89;90.;Jersey Girl;(2004);102 min;"
Comedy, Drama, Romance            ";Kevin Smith
90;91.;Instincts meurtriers;(I) (2004);97 min;"
Crime, Drama, Mystery            ";Philip Kaufman
91;92.;The Life Aquatic with Steve Zissou;(2004);119 min;"
Adventure, Comedy, Drama            ";Wes Anderson
92;93.;Around the World in 80 Days;(2004);120 min;"
Action, Adventure, Comedy            ";Frank Coraci
93;94.;Hotel Rwanda;(2004);121 min;"
Biography, Drama, History            ";Terry George
94;95.;Agent Cody Banks 2: Destination London;(2004);100 min;"
Action, Adventure, Comedy            ";Kevin Allen
95;96.;Ella Enchanted;(2004);96 min;"
Comedy, Family, Fantasy            ";Tommy O'Haver
96;97.;The Alamo;(2004);137 min;"
Drama, History, War            ";John Lee Hancock
97;98.;Mr 3000;(2004);104 min;"
Comedy, Drama, Romance            ";Charles Stone III
98;99.;Torque;(2004);84 min;"
Action, Comedy, Crime            ";Joseph Kahn
99;100.;Flight of the Phoenix;(2004);113 min;"
Action, Adventure, Drama            ";John Moore
