;classement;titre;annee;duree;categorie;realisateur;url;url_script
0;1.0;Harry Potter and the Deathly Hallows: Part 2;(2011);130 min;"
Adventure, Drama, Fantasy            ";David Yates;;
1;2.0;Transformers: Dark of the Moon;(2011);154 min;"
Action, Adventure, Sci-Fi            ";Michael Bay;;
2;3.0;The Twilight Saga: Breaking Dawn - Part 1;(2011);117 min;"
Adventure, Drama, Fantasy            ";Bill Condon;;
3;4.0;The Hangover Part II;(2011);102 min;"
Comedy, Mystery            ";Todd Phillips;;
4;5.0;Pirates of the Caribbean: On Stranger Tides;(2011);136 min;"
Action, Adventure, Fantasy            ";Rob Marshall;;
5;6.0;Fast Five;(2011);131 min;"
Action, Crime, Thriller            ";Justin Lin;;
6;7.0;Mission: Impossible - Ghost Protocol;(2011);133 min;"
Action, Adventure, Thriller            ";Brad Bird;;
7;8.0;Cars 2;(2011);106 min;"
Animation, Adventure, Comedy            ";John Lasseter;http://www.imsdb.com/Movie Scripts/Cars 2 Script.html;http://www.imsdb.com/scripts/Cars-2.html
8;9.0;Sherlock Holmes: A Game of Shadows;(2011);129 min;"
Action, Adventure, Crime            ";Guy Ritchie;;
9;10.0;Thor;(2011);115 min;"
Action, Adventure, Fantasy            ";Kenneth Branagh;http://www.imsdb.com/Movie Scripts/Thor Script.html;http://www.imsdb.com/scripts/Thor.html
10;11.0;Rise of the Planet of the Apes;(2011);105 min;"
Action, Drama, Sci-Fi            ";Rupert Wyatt;http://www.imsdb.com/Movie Scripts/Rise of the Planet of the Apes Script.html;http://www.imsdb.com/scripts/Rise-of-the-Planet-of-the-Apes.html
11;12.0;Captain America: The First Avenger;(2011);124 min;"
Action, Adventure, Sci-Fi            ";Joe Johnston;;
12;13.0;The Help;(2011);146 min;"
Drama            ";Tate Taylor;;
13;14.0;Bridesmaids;(I) (2011);125 min;"
Comedy, Romance            ";Paul Feig;http://www.imsdb.com/Movie Scripts/Bridesmaids Script.html;http://www.imsdb.com/scripts/Bridesmaids.html
14;15.0;Kung Fu Panda 2;(2011);90 min;"
Animation, Action, Adventure            ";Jennifer Yuh Nelson;;
15;16.0;Puss in Boots;(2011);90 min;"
Animation, Action, Adventure            ";Chris Miller;;
16;17.0;X-Men: First Class;(2011);132 min;"
Action, Adventure, Sci-Fi            ";Matthew Vaughn;;
17;18.0;Rio;(2011);96 min;"
Animation, Adventure, Comedy            ";Carlos Saldanha;;
18;19.0;The Smurfs;(2011);103 min;"
Animation, Adventure, Comedy            ";Raja Gosnell;;
19;20.0;Alvin and the Chipmunks: Chipwrecked;(2011);87 min;"
Animation, Adventure, Comedy            ";Mike Mitchell;;
20;21.0;Super 8;(2011);112 min;"
Mystery, Sci-Fi, Thriller            ";J.J. Abrams;http://www.imsdb.com/Movie Scripts/Super 8 Script.html;http://www.imsdb.com/scripts/Super-8.html
21;22.0;Rango;(2011);107 min;"
Animation, Adventure, Comedy            ";Gore Verbinski;;
22;23.0;Horrible Bosses;(2011);98 min;"
Comedy, Crime            ";Seth Gordon;http://www.imsdb.com/Movie Scripts/Horrible Bosses Script.html;http://www.imsdb.com/scripts/Horrible-Bosses.html
23;24.0;Green Lantern;(2011);114 min;"
Action, Adventure, Sci-Fi            ";Martin Campbell;;
24;25.0;Hop;(2011);95 min;"
Animation, Adventure, Comedy            ";Tim Hill;;
25;26.0;Paranormal Activity 3;(2011);83 min;"
Horror            ";Henry Joost;;
26;27.0;Just Go with It;(2011);117 min;"
Comedy, Romance            ";Dennis Dugan;;
27;28.0;The Girl with the Dragon Tattoo;(2011);158 min;"
Crime, Drama, Mystery            ";David Fincher;;
28;29.0;Bad Teacher;(2011);92 min;"
Comedy            ";Jake Kasdan;http://www.imsdb.com/Movie Scripts/Bad Teacher Script.html;http://www.imsdb.com/scripts/Bad-Teacher.html
29;30.0;Cowboys & Aliens;(2011);119 min;"
Action, Sci-Fi, Thriller            ";Jon Favreau;http://www.imsdb.com/Movie Scripts/Cowboys & Aliens Script.html;http://www.imsdb.com/scripts/Cowboys-&-Aliens.html
30;31.0;Gnomeo & Juliet;(2011);84 min;"
Animation, Comedy, Family            ";Kelly Asbury;;
31;32.0;The Green Hornet;(2011);119 min;"
Action, Comedy, Crime            ";Michel Gondry;;
32;33.0;The Muppets;(2011);103 min;"
Adventure, Comedy, Family            ";James Bobin;;
33;34.0;Real Steel;(2011);127 min;"
Action, Drama, Family            ";Shawn Levy;;
34;35.0;Crazy, Stupid, Love.;(2011);118 min;"
Comedy, Drama, Romance            ";Glenn Ficarra;;
35;36.0;Battle Los Angeles;(2011);116 min;"
Action, Sci-Fi            ";Jonathan Liebesman;;
36;37.0;Immortals;(2011);110 min;"
Action, Drama, Fantasy            ";Tarsem Singh;;
37;38.0;The Descendants;(2011);115 min;"
Comedy, Drama            ";Alexander Payne;;
38;39.0;Zookeeper;(2011);102 min;"
Comedy, Family, Romance            ";Frank Coraci;;
39;40.0;War Horse;(2011);146 min;"
Drama, War            ";Steven Spielberg;http://www.imsdb.com/Movie Scripts/War Horse Script.html;http://www.imsdb.com/scripts/War-Horse.html
40;41.0;Limitless;(I) (2011);105 min;"
Mystery, Sci-Fi, Thriller            ";Neil Burger;http://www.imsdb.com/Movie Scripts/Limitless Script.html;http://www.imsdb.com/scripts/Limitless.html
41;42.0;Tower Heist;(2011);104 min;"
Action, Comedy, Crime            ";Brett Ratner;;
42;43.0;The Adventures of Tintin;(2011);107 min;"
Animation, Action, Adventure            ";Steven Spielberg;;
43;44.0;Contagion;(2011);106 min;"
Drama, Thriller            ";Steven Soderbergh;;
44;45.0;We Bought a Zoo;(2011);124 min;"
Comedy, Drama, Family            ";Cameron Crowe;;
45;46.0;Moneyball;(2011);133 min;"
Biography, Drama, Sport            ";Bennett Miller;http://www.imsdb.com/Movie Scripts/Moneyball Script.html;http://www.imsdb.com/scripts/Moneyball.html
46;47.0;Jack and Jill;(I) (2011);91 min;"
Comedy            ";Dennis Dugan;;
47;48.0;Hugo;(2011);126 min;"
Adventure, Drama, Family            ";Martin Scorsese;;
48;49.0;Justin Bieber: Never Say Never;(2011);105 min;"
Documentary, Music            ";Jon M. Chu;;
49;50.0;Dolphin Tale;(2011);113 min;"
Drama, Family            ";Charles Martin Smith;;
50;51.0;No Strings Attached;(I) (2011);108 min;"
Comedy, Romance            ";Ivan Reitman;http://www.imsdb.com/Movie Scripts/No Strings Attached Script.html;http://www.imsdb.com/scripts/No-Strings-Attached.html
51;52.0;Mr. Popper's Penguins;(2011);94 min;"
Comedy, Family, Fantasy            ";Mark Waters;;
52;53.0;Happy Feet 2;(2011);100 min;"
Animation, Comedy, Family            ";George Miller;;
53;54.0;The Adjustment Bureau;(2011);106 min;"
Romance, Sci-Fi, Thriller            ";George Nolfi;;
54;55.0;Unknown;(I) (2011);113 min;"
Action, Mystery, Thriller            ";Jaume Collet-Serra;http://www.imsdb.com/Movie Scripts/Unknown Script.html;http://www.imsdb.com/scripts/Unknown.html
55;56.0;Water for Elephants;(2011);120 min;"
Drama, Romance            ";Francis Lawrence;http://www.imsdb.com/Movie Scripts/Water for Elephants Script.html;http://www.imsdb.com/scripts/Water-for-Elephants.html
56;57.0;The Lincoln Lawyer;(2011);118 min;"
Crime, Drama, Thriller            ";Brad Furman;;
57;58.0;Midnight in Paris;(2011);94 min;"
Comedy, Fantasy, Romance            ";Woody Allen;http://www.imsdb.com/Movie Scripts/Midnight in Paris Script.html;http://www.imsdb.com/scripts/Midnight-in-Paris.html
58;59.0;Friends with Benefits;(2011);109 min;"
Comedy, Romance            ";Will Gluck;;
59;60.0;I Am Number Four;(2011);109 min;"
Action, Adventure, Sci-Fi            ";D.J. Caruso;http://www.imsdb.com/Movie Scripts/I Am Number Four Script.html;http://www.imsdb.com/scripts/I-Am-Number-Four.html
60;61.0;Source Code;(2011);93 min;"
Mystery, Romance, Sci-Fi            ";Duncan Jones;http://www.imsdb.com/Movie Scripts/Source Code Script.html;http://www.imsdb.com/scripts/Source-Code.html
61;62.0;New Year's Eve;(2011);113 min;"
Comedy, Romance            ";Garry Marshall;;
62;63.0;Madea's Big Happy Family;(2011);106 min;"
Comedy, Drama            ";Tyler Perry;;
63;64.0;Diary of a Wimpy Kid: Rodrick Rules;(2011);99 min;"
Comedy, Family            ";David Bowers;;
64;65.0;Footloose;(2011);113 min;"
Comedy, Drama, Music            ";Craig Brewer;;
65;66.0;Ghost Rider: Spirit of Vengeance;(2011);96 min;"
Action, Fantasy, Thriller            ";Mark Neveldine;;
66;67.0;The Grey;(2011);117 min;"
Action, Adventure, Drama            ";Joe Carnahan;;
67;68.0;The Dilemma;(2011);111 min;"
Comedy, Drama            ";Ron Howard;;
68;69.0;Arthur Christmas;(2011);97 min;"
Animation, Adventure, Comedy            ";Sarah Smith;;
69;70.0;The Best Exotic Marigold Hotel;(2011);124 min;"
Comedy, Drama            ";John Madden;;
70;71.0;Hall Pass;(2011);105 min;"
Comedy, Romance            ";Bobby Farrelly;http://www.imsdb.com/Movie Scripts/Hall Pass Script.html;http://www.imsdb.com/scripts/Hall-Pass.html
71;72.0;The Artist;(I) (2011);100 min;"
Comedy, Drama, Romance            ";Michel Hazanavicius;;
72;73.0;Soul Surfer;(2011);112 min;"
Biography, Drama, Family            ";Sean McNamara;;
73;74.0;Final Destination 5;(2011);92 min;"
Horror, Thriller            ";Steven Quale;;
74;75.0;The Ides of March;(2011);101 min;"
Drama            ";George Clooney;;
75;76.0;Hanna;(2011);111 min;"
Action, Drama, Thriller            ";Joe Wright;http://www.imsdb.com/Movie Scripts/Hanna Script.html;http://www.imsdb.com/scripts/Hanna.html
76;77.0;Something Borrowed;(2011);112 min;"
Comedy, Drama, Romance            ";Luke Greenfield;;
77;78.0;Spy Kids: All the Time in the World in 4D;(2011);89 min;"
Action, Adventure, Comedy            ";Robert Rodriguez;;
78;79.0;Scream 4;(2011);111 min;"
Horror, Mystery            ";Wes Craven;;
79;80.0;Big Mommas: Like Father, Like Son;(2011);107 min;"
Action, Comedy, Crime            ";John Whitesell;;
80;81.0;Red Riding Hood;(2011);100 min;"
Fantasy, Horror, Mystery            ";Catherine Hardwicke;http://www.imsdb.com/Movie Scripts/Red Riding Hood Script.html;http://www.imsdb.com/scripts/Red-Riding-Hood.html
81;82.0;In Time;(2011);109 min;"
Action, Sci-Fi, Thriller            ";Andrew Niccol;;
82;83.0;Paul;(2011);104 min;"
Adventure, Comedy, Sci-Fi            ";Greg Mottola;http://www.imsdb.com/Movie Scripts/Paul Script.html;http://www.imsdb.com/scripts/Paul.html
83;84.0;J. Edgar;(2011);137 min;"
Biography, Crime, Drama            ";Clint Eastwood;;
84;85.0;The Roommate;(I) (2011);91 min;"
Drama, Horror, Thriller            ";Christian E. Christiansen;;
85;86.0;Jumping the Broom;(2011);112 min;"
Comedy, Drama            ";Salim Akil;;
86;87.0;30 minutes maximum;(2011);83 min;"
Action, Comedy, Crime            ";Ruben Fleischer;;
87;88.0;The Change-Up;(2011);112 min;"
Comedy, Fantasy            ";David Dobkin;;
88;89.0;Colombiana;(2011);108 min;"
Action, Crime, Drama            ";Olivier Megaton;http://www.imsdb.com/Movie Scripts/Colombiana Script.html;http://www.imsdb.com/scripts/Colombiana.html
89;90.0;Sucker Punch;(2011);110 min;"
Action, Fantasy            ";Zack Snyder;;
90;91.0;Larry Crowne;(2011);98 min;"
Comedy, Drama, Romance            ";Tom Hanks;http://www.imsdb.com/Movie Scripts/Larry Crowne Script.html;http://www.imsdb.com/scripts/Larry-Crowne.html
91;92.0;Drive;(I) (2011);100 min;"
Crime, Drama            ";Nicolas Winding Refn;http://www.imsdb.com/Movie Scripts/Drive Script.html;http://www.imsdb.com/scripts/Drive.html
92;93.0;A Very Harold & Kumar 3D Christmas;(2011);90 min;"
Adventure, Comedy            ";Todd Strauss-Schulson;;
93;94.0;50/50;(2011);100 min;"
Comedy, Drama, Romance            ";Jonathan Levine;;
94;95.0;Courageous;(2011);129 min;"
Drama            ";Alex Kendrick;;
95;96.0;The Rite;(2011);114 min;"
Drama, Horror, Mystery            ";Mikael Håfström;;
96;97.0;Arthur;(I) (2011);110 min;"
Comedy, Romance            ";Jason Winer;http://www.imsdb.com/Movie Scripts/Arthur Script.html;http://www.imsdb.com/scripts/Arthur.html
97;98.0;Extremely Loud & Incredibly Close;(2011);129 min;"
Adventure, Drama, Mystery            ";Stephen Daldry;;
98;99.0;The Sitter;(2011);81 min;"
Comedy            ";David Gordon Green;;
99;100.0;The Iron Lady;(2011);105 min;"
Biography, Drama            ";Phyllida Lloyd;;
