;classement;titre;annee;duree;categorie;realisateur;url;url_script
0;1.0;Toy Story 3;(2010);103 min;"
Animation, Adventure, Comedy            ";Lee Unkrich;;
1;2.0;Alice in Wonderland;(I) (2010);108 min;"
Adventure, Family, Fantasy            ";Tim Burton;;
2;3.0;Iron Man 2;(2010);124 min;"
Action, Adventure, Sci-Fi            ";Jon Favreau;;
3;4.0;The Twilight Saga: Eclipse;(2010);124 min;"
Adventure, Drama, Fantasy            ";David Slade;;
4;5.0;Harry Potter and the Deathly Hallows: Part 1;(2010);146 min;"
Adventure, Family, Fantasy            ";David Yates;;
5;6.0;Inception;(2010);148 min;"
Action, Adventure, Sci-Fi            ";Christopher Nolan;http://www.imsdb.com/Movie Scripts/Inception Script.html;http://www.imsdb.com/scripts/Inception.html
6;7.0;Despicable Me;(2010);95 min;"
Animation, Adventure, Comedy            ";Pierre Coffin;;
7;8.0;Shrek Forever After;(2010);93 min;"
Animation, Adventure, Comedy            ";Mike Mitchell;;
8;9.0;How to Train Your Dragon;(2010);98 min;"
Animation, Action, Adventure            ";Dean DeBlois;http://www.imsdb.com/Movie Scripts/How to Train Your Dragon Script.html;http://www.imsdb.com/scripts/How-to-Train-Your-Dragon.html
9;10.0;Tangled;(2010);100 min;"
Animation, Adventure, Comedy            ";Nathan Greno;;
10;11.0;The Karate Kid;(2010);140 min;"
Action, Drama, Family            ";Harald Zwart;;
11;12.0;TRON: Legacy;(2010);125 min;"
Action, Adventure, Sci-Fi            ";Joseph Kosinski;http://www.imsdb.com/Movie Scripts/TRON: Legacy Script.html;http://www.imsdb.com/scripts/TRON-Legacy.html
12;13.0;True Grit;(2010);110 min;"
Adventure, Drama, Western            ";Ethan Coen;http://www.imsdb.com/Movie Scripts/True Grit Script.html;http://www.imsdb.com/scripts/True-Grit.html
13;14.0;Clash of the Titans;(2010);106 min;"
Action, Adventure, Fantasy            ";Louis Leterrier;http://www.imsdb.com/Movie Scripts/Clash of the Titans Script.html;http://www.imsdb.com/scripts/Clash-of-the-Titans.html
14;15.0;Grown Ups;(2010);102 min;"
Comedy            ";Dennis Dugan;;
15;16.0;Little Fockers;(2010);98 min;"
Comedy, Romance            ";Paul Weitz;;
16;17.0;Megamind;(2010);95 min;"
Animation, Action, Comedy            ";Tom McGrath;http://www.imsdb.com/Movie Scripts/Megamind Script.html;http://www.imsdb.com/scripts/Megamind.html
17;18.0;The King's Speech;(2010);118 min;"
Biography, Drama            ";Tom Hooper;;
18;19.0;The Last Airbender;(2010);103 min;"
Action, Adventure, Family            ";M. Night Shyamalan;;
19;20.0;Shutter Island;(2010);138 min;"
Mystery, Thriller            ";Martin Scorsese;;
20;21.0;The Other Guys;(2010);107 min;"
Action, Comedy, Crime            ";Adam McKay;;
21;22.0;Salt;(2010);100 min;"
Action, Crime, Mystery            ";Phillip Noyce;;
22;23.0;Jackass 3D;(2010);94 min;"
Documentary, Action, Comedy            ";Jeff Tremaine;;
23;24.0;Valentine's Day;(I) (2010);125 min;"
Comedy, Romance            ";Garry Marshall;http://www.imsdb.com/Movie Scripts/Valentine's Day Script.html;
24;25.0;Black Swan;(2010);108 min;"
Drama, Thriller            ";Darren Aronofsky;http://www.imsdb.com/Movie Scripts/Black Swan Script.html;http://www.imsdb.com/scripts/Black-Swan.html
