;vocab_male;vocab_male_count;vocab_female;vocab_female_count
0;man;812;time;541
1;time;681;something;405
2;something;560;thing;351
3;way;508;way;350
4;thing;467;day;307
5;yeah;438;man;296
6;look;430;life;295
7;day;383;look;283
8;gonna;381;night;272
9;guy;378;yeah;267
10;hey;374;get;224
11;get;356;guy;219
12;life;343;talk;213
13;let;341;work;202
14;car;321;let;200
15;anything;295;someone;195
16;night;281;god;194
17;work;277;gonna;181
18;okay;274;car;178
19;nothing;263;anything;176
20;john;245;hey;176
21;tell;245;nothing;175
22;paul;241;phone;174
23;sorry;239;love;171
24;hell;237;home;171
25;kind;235;everything;168
26;house;230;sorry;165
27;room;228;house;165
28;home;217;kind;165
29;gotta;212;please;156
30;someone;199;okay;155
31;job;199;tell;151
32;money;197;room;149
33;name;195;woman;149
34;everything;194;call;144
35;talk;193;girl;139
36;see;189;course;138
37;please;185;everyone;137
38;ass;184;annie;136
39;god;183;lot;134
40;place;183;thank;133
41;door;178;baby;131
42;pat;178;job;131
43;lot;175;see;129
44;call;175;mr;128
45;phone;175;school;126
46;shit;174;name;123
47;course;171;hi;122
48;fuck;171;place;122
49;think;171;hand;121
50;help;169;think;121
51;love;164;world;119
52;everyone;164;date;118
53;world;161;oh;117
54;head;161;mrs;116
55;mean;157;help;115
56;oh;153;mom;115
57;thank;148;today;115
58;idea;148;person;110
59;today;147;care;110
60;guess;146;john;109
61;wife;146;party;108
62;sr;144;word;106
63;friend;144;sex;105
64;aaron;143;cont;105
65;hand;142;idea;104
66;problem;141;year;102
67;dad;141;guess;101
68;face;140;face;100
69;girl;137;morning;98
70;mr;132;money;98
71;baby;131;wait;97
72;family;128;adam;96
73;wait;128;mean;96
74;mom;126;part;96
75;oscar;125;dr;92
76;cause;124;hello;91
77;anyone;121;heart;91
78;care;120;anyone;91
79;jesus;119;book;86
80;school;119;meet;85
81;dog;117;need;85
82;morning;117;head;85
83;week;115;friend;84
84;year;113;honey;83
85;need;112;feel;81
86;party;112;point;81
87;part;112;show;81
88;marley;112;family;80
89;boy;111;mind;80
90;woman;110;mother;80
91;right;109;tomorrow;77
92;tomorrow;109;fun;77
93;moment;109;deal;76
94;hello;108;right;75
95;stuff;108;emma;75
96;business;106;stuff;74
97;game;106;hell;74
98;show;106;serendipity;74
99;point;106;ass;73
100;hi;104;shit;73
101;feel;104;boy;72
102;huh;101;horowitz;72
103;son;100;door;71
104;stop;100;hate;71
105;sir;99;number;70
106;deal;98;news;70
107;everybody;95;week;69
108;book;95;class;69
109;somebody;94;gotta;68
110;mind;94;business;67
111;damn;93;ben;66
112;watch;92;stop;65
113;graham;92;moment;64
114;case;90;line;63
115;line;88;dad;63
116;fact;88;wife;63
117;dude;88;huh;62
118;word;86;problem;61
119;nobody;86;office;61
120;end;85;hair;61
121;story;85;jesus;60
122;number;84;dinner;59
123;move;83;story;59
124;v;83;fuck;58
125;town;82;hartman;56
126;master;81;end;55
127;adam;81;matter;54
128;tonight;81;watch;54
129;jeff;81;fact;53
130;side;81;body;53
131;ruth;81;music;52
132;sex;80;griffin;52
133;movie;80;pay;52
134;person;80;tv;51
135;bitch;80;coffee;51
136;matter;80;war;51
137;water;80;husband;51
138;mother;79;father;51
139;chance;78;nobody;51
140;kurt;77;tonight;50
141;uh;76;mine;50
142;order;76;bit;50
143;office;76;eat;50
144;dr;75;marriage;49
145;pay;75;question;49
146;jack;74;sort;49
147;play;73;york;49
148;mrs;73;start;48
149;father;73;excuse;48
150;shot;73;kid;48
151;bit;73;hour;48
152;check;73;paper;47
153;heart;72;dance;47
154;reason;72;change;47
155;york;72;food;47
156;half;71;everybody;47
157;honey;70;doctor;47
158;street;70;move;46
159;plan;69;chance;46
160;uncle;69;play;45
161;security;68;wow;45
162;hour;68;cause;45
163;jenny;68;dog;45
164;start;67;eye;45
165;floor;66;v;45
166;try;66;daughter;44
167;trouble;66;ask;44
168;gun;66;use;44
169;hair;66;case;44
170;brother;66;voice;43
171;wanna;66;stay;43
172;sit;66;store;43
173;excuse;65;weekend;42
174;stay;65;mark;42
175;kid;65;thought;42
176;use;65;minute;41
177;news;65;street;41
178;int;64;water;41
179;jacob;64;turn;41
180;road;64;movie;41
181;scout;64;city;40
182;fun;64;relationship;40
183;meet;63;bitch;40
184;ray;63;arthur;40
185;dinner;63;metzner;39
186;couple;62;reason;39
187;ronnie;61;game;39
188;voice;61;helen;39
189;cont;61;road;39
190;em;61;town;39
191;anybody;61;somebody;39
192;death;59;son;38
193;bathroom;59;maggie;38
194;lou;58;lady;38
195;eat;58;truth;38
196;body;58;hope;38
197;date;57;sit;38
198;yo;57;marley;38
199;question;57;college;38
200;rv;56;paul;37
201;bar;56;sister;37
202;store;56;side;37
203;sense;55;bag;37
204;fire;55;bye;37
205;food;55;fault;37
206;doctor;55;half;37
207;seat;54;try;36
208;kill;54;l;36
209;bishop;54;club;36
210;minute;53;seat;36
211;city;53;fine;36
212;situation;53;howard;36
213;change;53;wanna;36
214;understand;53;uh;35
215;cut;53;break;35
216;take;52;make;35
217;elaine;52;beat;35
218;piece;52;picture;35
219;christ;52;sign;34
220;cool;52;pick;34
221;record;52;forget;34
222;break;51;summer;33
223;mine;50;dress;33
224;hate;50;plan;33
225;forget;49;marry;33
226;partner;49;air;33
227;hear;49;heard;33
228;coffee;48;michael;33
229;heard;48;george;33
230;police;48;anybody;33
231;sort;48;promise;33
232;thought;48;ronnie;32
233;zoil;48;truck;32
234;figure;48;bob;32
235;music;47;pat;32
236;mouth;47;b;32
237;bank;47;law;31
238;air;47;ground;31
239;ya;47;step;31
240;step;47;camera;31
241;ward;47;bar;31
242;fuckin;47;meeting;31
243;country;46;understand;31
244;truck;46;trust;31
245;luck;46;brother;31
246;shoot;46;check;31
247;team;45;lord;30
248;truth;45;floor;30
249;window;45;child;30
250;eye;45;death;30
251;picture;45;history;30
252;college;45;bed;30
253;power;44;ha;30
254;ground;44;hear;30
255;derek;44;come;30
256;ask;43;master;29
257;turn;43;boyfriend;29
258;shirt;43;take;29
259;tape;42;drive;29
260;lady;42;sense;29
261;control;42;horse;29
262;state;42;crap;29
263;box;42;c;29
264;beat;42;ice;29
265;c;42;list;29
266;holy;41;steve;29
267;want;41;press;29
268;war;41;juno;29
269;craig;41;rest;28
270;bet;41;act;28
271;bob;41;company;28
272;trust;41;age;28
273;know;41;trouble;28
274;hope;40;ruth;28
275;law;40;joke;28
276;husband;40;beer;28
277;wow;40;apartment;28
278;beer;40;hotel;28
279;goddamn;40;walk;28
280;dale;40;know;28
281;sam;39;letter;27
282;dance;39;ah;27
283;alright;39;fire;27
284;rest;38;band;27
285;company;38;area;27
286;drop;38;larry;27
287;rock;38;rescue;27
288;motherfucker;38;president;27
289;come;38;sugar;27
290;attention;38;mail;27
291;whoa;38;wedding;27
292;class;38;machine;26
293;carl;37;country;26
294;tv;37;crowne;26
295;ben;37;situation;26
296;bag;37;cry;26
297;chick;37;kill;26
298;fucking;37;couple;26
299;g;37;int;26
300;service;36;order;26
301;clock;36;e;26
302;paper;36;bet;26
303;sign;36;shot;26
304;ryan;36;twenty;26
305;front;36;kirk;26
306;die;36;disney;26
307;fault;36;song;26
308;trip;36;arm;26
309;patel;36;jenny;26
310;letter;35;jane;25
311;ah;35;jerry;25
312;suit;35;breakfast;25
313;hang;35;vanessa;25
314;camera;35;box;25
315;president;35;girlfriend;25
316;weekend;35;difference;25
317;blood;35;state;25
318;russell;35;clock;24
319;promise;34;month;24
320;jerry;34;cute;24
321;area;34;mary;24
322;drink;34;jake;24
323;jump;34;bathroom;24
324;hector;34;divorce;24
325;drive;34;sir;24
326;laura;34;mike;24
327;bullshit;34;record;24
328;b;34;want;23
329;claude;34;choice;23
330;officer;34;breath;23
331;walk;34;cream;23
332;shut;33;bring;23
333;dream;33;tape;23
334;make;33;dream;23
335;mon;33;figure;23
336;dollar;33;reporter;22
337;crap;33;service;22
338;rob;33;shut;22
339;crime;33;p;22
340;cash;33;em;22
341;song;33;career;22
342;glass;32;daddy;22
