|text|type
0|"9
Written by
Pamela Pettler
Short story by
Shane Acker"|unknown
1|The Focus Features logo appears on screen and we slide INTO|unknown
2|"SCIENTIST'S VOICE
Experiment 208, day 20..."|unknown
3|INT. SCIENTIST'S LAB - DAY|location
4|We pull back to see the Scientist is playing a complicated|unknown
5|DICTATOR|unknown
6|Useless.|stage direction
7|"SCIENTIST
Please.   Give it a chance."|unknown
8|DICTATOR (V.O.)|unknown
9|CUT TO:|unknown
10|2.|unknown
11|INT. SCIENTIST'S LAB - NIGHT|location
12|"SCIENTIST
(tired, but dictating to
keep the documentary
record complete)"|unknown
13|My last possible solution....|stage direction
14|(muttering to himself)|unknown
15|It must work...|stage direction
16|"CUT TO:
3."|unknown
17|INT. SCIENTIST'S LAB - A DAY LATER|location
18|DICTATOR|unknown
19|Perfect.|location
20|"SCIENTIST
(PROUDLY)"|unknown
21|You see, it evolves.|location
22|he machine, responding to the brutality, lashes an arm out|unknown
23|"he dictator CONTINUES ON WITHOUT BREAKING STRIDE.
DICTATOR
CHILLINGLY)"|unknown
24|Yes. Perfect.|location
25|DISSOLVE TO:|unknown
26|"4.
RADIO (V.O.)
(robotic sounding)"|unknown
27|"Alert. We are in a state of
emergency..."|stage direction
28|FADE UP INTO:|unknown
29|INT. SCIENTIST'S WORKSHOP - DAY|location
30|RADIO (V.O.)|unknown
31|"...the Machines have become
uncontrollable... they are shooting
at will... ALERT: stay in your
homes."|stage direction
32|"SCIENTIST
(HEARTBROKEN)"|unknown
33|"My invention... my beauty... beauty
was taken..."|stage direction
34|"LASHES and EXPLOSIONS shake the workshop horribly.
ITLE CARD #3
RADIO (V.O.)"|unknown
35|"Reports are coming in... they've
breached the Northern walls of the
city..."|stage direction
36|"ISSOLVE TO:
5."|unknown
37|INT. SCIENTIST'S LAB - ANOTHER DAY|location
38|RADIO (V.O.)|unknown
39|"An announcement from our
Chancellor!"|stage direction
40|"DICTATOR'S VOICE
(on the radio)"|unknown
41|"Comrades, I have lost control. The
Machine is now our enemy. We need
to join forces to fight against it."|stage direction
42|"SCIENTIST
his voice a mere whisper
NOW)"|unknown
43|"Five so far....I can't get them
right..."|stage direction
44|ISSOLVE TO:|unknown
45|INT. SCIENTIST'S LAB - ANOTHER DAY|location
46|"RADIO (V.O.)
(through static)"|unknown
47|"Gas masks are being distributed...
ALERT: beware...."|stage direction
48|ADIO (V.O.) (cont'd)|unknown
49|...deadly gas....|stage direction
50|"he radio voice dies out.   We hear nothing but STATIC.
ITLE CARD #7"|unknown
51|6.|unknown
52|"SCIENTIST
a feeble whisper)"|unknown
53|"My last one... this one, finally,
must work... it must...."|location
54|DISSOLVE TO:|unknown
55|RAAAACK.|unknown
56|e had been attached with the fraying rope and a long cable,|unknown
57|e is made up of odd patchwork items: burlap, a thick zipper,|unknown
58|7.|unknown
59|..he is on the tabletop in the RUINS OF A SMALL ROOM.|unknown
60|"9"" blinks and turns around, his head darting this way and"|unknown
61|lumped on the floor, we clearly see: the scientist's|unknown
62|"loose window shutter. He goes over to the window.
e pushes opens the window to see--"|unknown
63|usting machine carcasses, bombed-out ruins, and emptiness|unknown
64|here is no other living being anywhere.|unknown
65|"e seems to be completely alone.
sees a glint of something, a possible sign of life.    He"|unknown
66|8.|unknown
67|CUT TO:|unknown
68|achines lie deserted on the sides of roads.|unknown
69|LOSE on 9 as the light crosses his face.|unknown
70|2|unknown
71|9.|unknown
72|2|unknown
73|"(firmly, kindly, almost
eagerly; like trying to
soothe a wild animal)"|unknown
74|Wait... I am a friend.|stage direction
75|"LT:
2 (CONT'D)
(GENTLY)"|unknown
76|Friend... I am a friend.|stage direction
77|"(CONT'D)
(eagerly, excited, like an
intrigued scholar)"|unknown
78|"Yes... yes... I always thought
there'd be one more."|stage direction
79|2 (CONT'D)|unknown
80|The details... how exciting.|stage direction
81|(FASCINATED)|unknown
82|"Carved wood... steel bolts...
molded copper..."|stage direction
83|10.|unknown
84|looks at him, nodding, again, the kind mentor. He's|unknown
85|2 (CONT'D)|unknown
86|You can't speak.|location
87|2 (CONT'D)|unknown
88|Yes, yes...|location
89|2 (CONT'D)|unknown
90|...come with me.|location
91|follows, looking around curiously.|unknown
92|2 (CONT'D)|unknown
93|Here!|location
94|"2 (CONT'D)
(sees 9 with the bullet;
whispers sharply)"|unknown
95|No! Stop!|location
96|"2 (CONT'D)
QUIETLY)"|unknown
97|"Some things in this world are
better left where they lie."|location
98|e puts the bullet to one side and kneels, prying into 9's|unknown
99|"11.
2 (CONT'D)"|unknown
100|"But if you know where to look,
these ruins are full of riches."|stage direction
101|"9
(as his voice is ""tuned
in"".. starting with pure
static, then slowly
moving into a voice)"|unknown
102|Chhhhhhh.....chhhhehhhh...|stage direction
103|2|unknown
104|Wait..|stage direction
105|(tunes him in)|unknown
106|...almost there...|stage direction
107|9|unknown
108|Friend?   Friend?|stage direction
109|"2
(BEAMING)"|unknown
110|Friend.|stage direction
111|"9
(more and more normal
SOUNDING)"|unknown
112|Are we alone?|stage direction
113|"2
(REASSURING)"|unknown
114|No. There are others.|stage direction
115|and 2 stare at each other. 9 looks at 2 in wonderment,|unknown
116|glow beams from within 9's chest.   2 stares.   9 removes the|unknown
117|"2
12."|unknown
118|(CONT'D)|unknown
119|But how strange....|location
120|"muttering to himself as
he turns the Talisman in
his hands)"|unknown
121|"Yes, he was always drawing this...
exactly like this... how strange..."|location
122|hey both stare at the TALISMAN.|unknown
123|"2 (CONT'D)
(firmly, to 9)"|unknown
124|GO!|location
125|stands, ready to attack.|unknown
126|t is a nail and razor-studded predatory Machine with a cat|unknown
127|GASPS as he turns and sees it. The Cat Beast lets out a|unknown
128|"looks on with horror.
9"|unknown
129|13.|unknown
130|cringes.    His movement makes his hiding place teeter,|unknown
131|he Cat Beast WHIRLS at the sound. Picking up 2's struggling|unknown
132|is POV: through his haze and through the broken edges of the|unknown
133|"(MUTTERING)
The others...
CUT TO:"|unknown
134|W|stage direction
135|"9
9
5
14."|unknown
136|EXT. WASTELAND - CLOSE ON 9 - CONTINUOUS|location
137|CUT TO:|unknown
138|It's all right. You're safe now.|stage direction
139|9|unknown
140|Where am I?|stage direction
141|5|unknown
142|With us.|stage direction
143|(MUTTERING)|unknown
144|"Yes... he told me there were
others..."|stage direction
145|"5
(suddenly, urgently)"|unknown
146|Who?|stage direction
147|"(still dazed, trying to
REMEMBER)"|unknown
148|He was older... Out there...|stage direction
149|5|unknown
150|2.  Out in the emptiness?|stage direction
151|HORRIFIED)|unknown
152|Alone? Was he all right?|stage direction
153|hen is he coming back?|unknown
154|I|location
155|1|unknown
156|T|location
157|"9
15."|unknown
158|"HE--THE--
can't think of the right
WORD)"|unknown
159|T|location
160|hing! It took him.|unknown
161|5|unknown
162|No...   No!       It can't be!|location
163|(O.S.)|unknown
164|Keeping secrets from me, I see.|location
165|"and 9 whirl around.       5 CRINGES.
5"|unknown
166|I... I was coming to tell you...|location
167|pulls at 9 with his staff, displaying the number on his|unknown
168|"1
hat's this?
turns and glares at 5 like a general glaring at a new"|unknown
169|"5
... I found him.... in the"|unknown
170|emptiness.   He saw--|location
171|1|unknown
172|"What? What were you doing out
there?"|location
173|"1
9"|unknown
174|Y|stage direction
175|"1
16.
5"|unknown
176|"I saw him from the watchtower and I
thought..."|stage direction
177|ou'll lead The Beast straight back|unknown
178|"to us! How many times have I told
you?
The Beast--that's what took 2!   If
we hurry we could save him--"|stage direction
179|"1
(CURTLY)"|unknown
180|"If the Beast took him, that's the
end of it."|stage direction
181|9|unknown
182|But he was still alive--|stage direction
183|1|unknown
184|No, we have RULES.|stage direction
185|"(CONT'D)
(TO 8)"|unknown
186|Our new guest seems confused.|stage direction
187|(condescendingly, to 9)|unknown
188|"Perhaps I can help you achieve some
clarity."|stage direction
189|"C
17."|unknown
190|UT TO:|unknown
191|"5
(whispering, hopefully)"|unknown
192|He was still alive? Really?|stage direction
193|9|unknown
194|I think so--|stage direction
195|8|unknown
196|Hmmmph!|stage direction
197|NODS commandingly to 8. 8 begins to crank a rope that|unknown
198|braces himself as 8 pulls them up into a tall tower. He|unknown
199|hey pass an old plane outside that has crash-landed in to|unknown
200|he bucket moves past two large church bells into--|unknown
201|"7
1
1
18."|unknown
202|When we woke in this world....|stage direction
203|(V.O.) (cont'd)|unknown
204|"...it was chaos... Man and Machine
attacked each other with fire and
metal... The earth split and the
skies burned..."|stage direction
205|(TO 1)|unknown
206|I found others...|stage direction
